Horodate;P Soutiree (kW)
01.01.2024 00:00;159865
01.01.2024 00:10;158913
01.01.2024 00:20;160092
01.01.2024 00:30;161405
01.01.2024 00:40;158769
01.01.2024 00:50;158769
01.01.2024 01:00;161489
01.01.2024 01:10;160271
01.01.2024 01:20;158416
01.01.2024 01:30;159934
01.01.2024 01:40;158425
01.01.2024 01:50;158421
01.01.2024 02:00;159483
01.01.2024 02:10;156250
01.01.2024 02:20;156533
01.01.2024 02:30;158277
01.01.2024 02:40;157601
01.01.2024 02:50;159591
01.01.2024 03:00;157758
01.01.2024 03:10;157002
01.01.2024 03:20;161318
01.01.2024 03:30;158781
01.01.2024 03:40;159221
01.01.2024 03:50;156983
01.01.2024 04:00;158303
01.01.2024 04:10;159286
01.01.2024 04:20;157394
01.01.2024 04:30;159684
01.01.2024 04:40;158219
01.01.2024 04:50;158682
01.01.2024 05:00;158217
01.01.2024 05:10;163938
01.01.2024 05:20;163180
01.01.2024 05:30;163653
01.01.2024 05:40;168514
01.01.2024 05:50;167489
01.01.2024 06:00;171673
01.01.2024 06:10;170460
01.01.2024 06:20;173448
01.01.2024 06:30;177775
01.01.2024 06:40;180628
01.01.2024 06:50;181817
01.01.2024 07:00;183427
01.01.2024 07:10;184508
01.01.2024 07:20;184102
01.01.2024 07:30;186600
01.01.2024 07:40;188349
01.01.2024 07:50;191986
01.01.2024 08:00;192275
01.01.2024 08:10;190475
01.01.2024 08:20;194966
01.01.2024 08:30;195262
01.01.2024 08:40;196185
01.01.2024 08:50;199478
01.01.2024 09:00;201466
01.01.2024 09:10;201317
01.01.2024 09:20;198661
01.01.2024 09:30;199456
01.01.2024 09:40;200417
01.01.2024 09:50;201383
01.01.2024 10:00;199201
01.01.2024 10:10;199642
01.01.2024 10:20;198260
01.01.2024 10:30;198126
01.01.2024 10:40;201139
01.01.2024 10:50;201954
01.01.2024 11:00;199812
01.01.2024 11:10;201425
01.01.2024 11:20;200462
01.01.2024 11:30;198952
01.01.2024 11:40;200462
01.01.2024 11:50;202227
01.01.2024 12:00;191706
01.01.2024 12:10;194107
01.01.2024 12:20;187830
01.01.2024 12:30;192993
01.01.2024 12:40;191891
01.01.2024 12:50;191311
01.01.2024 13:00;198018
01.01.2024 13:10;194899
01.01.2024 13:20;197550
01.01.2024 13:30;198416
01.01.2024 13:40;200097
01.01.2024 13:50;197103
01.01.2024 14:00;196667
01.01.2024 14:10;197127
01.01.2024 14:20;199253
01.01.2024 14:30;198373
01.01.2024 14:40;197085
01.01.2024 14:50;198650
01.01.2024 15:00;198026
01.01.2024 15:10;199333
01.01.2024 15:20;196827
01.01.2024 15:30;197389
01.01.2024 15:40;197292
01.01.2024 15:50;195685
01.01.2024 16:00;198324
01.01.2024 16:10;198272
01.01.2024 16:20;197888
01.01.2024 16:30;197528
01.01.2024 16:40;195757
01.01.2024 16:50;197249
01.01.2024 17:00;193286
01.01.2024 17:10;192597
01.01.2024 17:20;193558
01.01.2024 17:30;194406
01.01.2024 17:40;196629
01.01.2024 17:50;194062
01.01.2024 18:00;194186
01.01.2024 18:10;193688
01.01.2024 18:20;190922
01.01.2024 18:30;193760
01.01.2024 18:40;193890
01.01.2024 18:50;197495
01.01.2024 19:00;179231
01.01.2024 19:10;179972
01.01.2024 19:20;179468
01.01.2024 19:30;177767
01.01.2024 19:40;181234
01.01.2024 19:50;180648
01.01.2024 20:00;180707
01.01.2024 20:10;178156
01.01.2024 20:20;181624
01.01.2024 20:30;177417
01.01.2024 20:40;180400
01.01.2024 20:50;182806
01.01.2024 21:00;165794
01.01.2024 21:10;166431
01.01.2024 21:20;167429
01.01.2024 21:30;166525
01.01.2024 21:40;164954
01.01.2024 21:50;167383
01.01.2024 22:00;165687
01.01.2024 22:10;167990
01.01.2024 22:20;165901
01.01.2024 22:30;169605
01.01.2024 22:40;166105
01.01.2024 22:50;166797
01.01.2024 23:00;168500
01.01.2024 23:10;165434
01.01.2024 23:20;167621
01.01.2024 23:30;169241
01.01.2024 23:40;164869
01.01.2024 23:50;167557
02.01.2024 00:00;159510
02.01.2024 00:10;160293
02.01.2024 00:20;157265
02.01.2024 00:30;157139
02.01.2024 00:40;159903
02.01.2024 00:50;159565
02.01.2024 01:00;159496
02.01.2024 01:10;159640
02.01.2024 01:20;158100
02.01.2024 01:30;159468
02.01.2024 01:40;159560
02.01.2024 01:50;158048
02.01.2024 02:00;161919
02.01.2024 02:10;159831
02.01.2024 02:20;157333
02.01.2024 02:30;160105
02.01.2024 02:40;157658
02.01.2024 02:50;160301
02.01.2024 03:00;160858
02.01.2024 03:10;157889
02.01.2024 03:20;160565
02.01.2024 03:30;159739
02.01.2024 03:40;160353
02.01.2024 03:50;161965
02.01.2024 04:00;158752
02.01.2024 04:10;157989
02.01.2024 04:20;157786
02.01.2024 04:30;157896
02.01.2024 04:40;159004
02.01.2024 04:50;159632
02.01.2024 05:00;159535
02.01.2024 05:10;162401
02.01.2024 05:20;163220
02.01.2024 05:30;167420
02.01.2024 05:40;166883
02.01.2024 05:50;173400
02.01.2024 06:00;172299
02.01.2024 06:10;172114
02.01.2024 06:20;173834
02.01.2024 06:30;178204
02.01.2024 06:40;179185
02.01.2024 06:50;182631
02.01.2024 07:00;184310
02.01.2024 07:10;184851
02.01.2024 07:20;185050
02.01.2024 07:30;185408
02.01.2024 07:40;188370
02.01.2024 07:50;191685
02.01.2024 08:00;192081
02.01.2024 08:10;191251
02.01.2024 08:20;194740
02.01.2024 08:30;196418
02.01.2024 08:40;195874
02.01.2024 08:50;198791
02.01.2024 09:00;200007
02.01.2024 09:10;198206
02.01.2024 09:20;200457
02.01.2024 09:30;200761
02.01.2024 09:40;201545
02.01.2024 09:50;201501
02.01.2024 10:00;197853
02.01.2024 10:10;198513
02.01.2024 10:20;200693
02.01.2024 10:30;200691
02.01.2024 10:40;200693
02.01.2024 10:50;205699
02.01.2024 11:00;200776
02.01.2024 11:10;201623
02.01.2024 11:20;201351
02.01.2024 11:30;200897
02.01.2024 11:40;199447
02.01.2024 11:50;201058
02.01.2024 12:00;190601
02.01.2024 12:10;191405
02.01.2024 12:20;191032
02.01.2024 12:30;191883
02.01.2024 12:40;195232
02.01.2024 12:50;188959
02.01.2024 13:00;198909
02.01.2024 13:10;195461
02.01.2024 13:20;197172
02.01.2024 13:30;199513
02.01.2024 13:40;197976
02.01.2024 13:50;196263
02.01.2024 14:00;196807
02.01.2024 14:10;198899
02.01.2024 14:20;196784
02.01.2024 14:30;198205
02.01.2024 14:40;197948
02.01.2024 14:50;196903
02.01.2024 15:00;201096
02.01.2024 15:10;198831
02.01.2024 15:20;194842
02.01.2024 15:30;198160
02.01.2024 15:40;196887
02.01.2024 15:50;199159
02.01.2024 16:00;196691
02.01.2024 16:10;197708
02.01.2024 16:20;198637
02.01.2024 16:30;199179
02.01.2024 16:40;196080
02.01.2024 16:50;197378
02.01.2024 17:00;193088
02.01.2024 17:10;192820
02.01.2024 17:20;196448
02.01.2024 17:30;194407
02.01.2024 17:40;191909
02.01.2024 17:50;195177
02.01.2024 18:00;196983
02.01.2024 18:10;195349
02.01.2024 18:20;191521
02.01.2024 18:30;193074
02.01.2024 18:40;195700
02.01.2024 18:50;192738
02.01.2024 19:00;180186
02.01.2024 19:10;180682
02.01.2024 19:20;178130
02.01.2024 19:30;179431
02.01.2024 19:40;174658
02.01.2024 19:50;177983
02.01.2024 20:00;179141
02.01.2024 20:10;177648
02.01.2024 20:20;181969
02.01.2024 20:30;177375
02.01.2024 20:40;178860
02.01.2024 20:50;179716
02.01.2024 21:00;169442
02.01.2024 21:10;165126
02.01.2024 21:20;169025
02.01.2024 21:30;167295
02.01.2024 21:40;165808
02.01.2024 21:50;167973
02.01.2024 22:00;167579
02.01.2024 22:10;166380
02.01.2024 22:20;167385
02.01.2024 22:30;166702
02.01.2024 22:40;167450
02.01.2024 22:50;168273
02.01.2024 23:00;169659
02.01.2024 23:10;165423
02.01.2024 23:20;170480
02.01.2024 23:30;164352
02.01.2024 23:40;167052
02.01.2024 23:50;168162
03.01.2024 00:00;159541
03.01.2024 00:10;158186
03.01.2024 00:20;158808
03.01.2024 00:30;158380
03.01.2024 00:40;158236
03.01.2024 00:50;160394
03.01.2024 01:00;159656
03.01.2024 01:10;158081
03.01.2024 01:20;160469
03.01.2024 01:30;159581
03.01.2024 01:40;160339
03.01.2024 01:50;160064
03.01.2024 02:00;157877
03.01.2024 02:10;158280
03.01.2024 02:20;160241
03.01.2024 02:30;160036
03.01.2024 02:40;159089
03.01.2024 02:50;159296
03.01.2024 03:00;161036
03.01.2024 03:10;158233
03.01.2024 03:20;159941
03.01.2024 03:30;158817
03.01.2024 03:40;158793
03.01.2024 03:50;160768
03.01.2024 04:00;160358
03.01.2024 04:10;160340
03.01.2024 04:20;161078
03.01.2024 04:30;159152
03.01.2024 04:40;160143
03.01.2024 04:50;158655
03.01.2024 05:00;159606
03.01.2024 05:10;160965
03.01.2024 05:20;163345
03.01.2024 05:30;166133
03.01.2024 05:40;166053
03.01.2024 05:50;172459
03.01.2024 06:00;169851
03.01.2024 06:10;171579
03.01.2024 06:20;177177
03.01.2024 06:30;178667
03.01.2024 06:40;180456
03.01.2024 06:50;182503
03.01.2024 07:00;183582
03.01.2024 07:10;183614
03.01.2024 07:20;186434
03.01.2024 07:30;186664
03.01.2024 07:40;190503
03.01.2024 07:50;190179
03.01.2024 08:00;190522
03.01.2024 08:10;192638
03.01.2024 08:20;195099
03.01.2024 08:30;194994
03.01.2024 08:40;195967
03.01.2024 08:50;198926
03.01.2024 09:00;200287
03.01.2024 09:10;199160
03.01.2024 09:20;199213
03.01.2024 09:30;200268
03.01.2024 09:40;197748
03.01.2024 09:50;197809
03.01.2024 10:00;198842
03.01.2024 10:10;199600
03.01.2024 10:20;200386
03.01.2024 10:30;202133
03.01.2024 10:40;201206
03.01.2024 10:50;199680
03.01.2024 11:00;199891
03.01.2024 11:10;198416
03.01.2024 11:20;199892
03.01.2024 11:30;199487
03.01.2024 11:40;200404
03.01.2024 11:50;198679
03.01.2024 12:00;192539
03.01.2024 12:10;194059
03.01.2024 12:20;191597
03.01.2024 12:30;192363
03.01.2024 12:40;192795
03.01.2024 12:50;191158
03.01.2024 13:00;198216
03.01.2024 13:10;197899
03.01.2024 13:20;198027
03.01.2024 13:30;196720
03.01.2024 13:40;197917
03.01.2024 13:50;198627
03.01.2024 14:00;200057
03.01.2024 14:10;199319
03.01.2024 14:20;201110
03.01.2024 14:30;196729
03.01.2024 14:40;199188
03.01.2024 14:50;198155
03.01.2024 15:00;201165
03.01.2024 15:10;196668
03.01.2024 15:20;196620
03.01.2024 15:30;196981
03.01.2024 15:40;194694
03.01.2024 15:50;197091
03.01.2024 16:00;196741
03.01.2024 16:10;198106
03.01.2024 16:20;198393
03.01.2024 16:30;200694
03.01.2024 16:40;199306
03.01.2024 16:50;197015
03.01.2024 17:00;192452
03.01.2024 17:10;194538
03.01.2024 17:20;191820
03.01.2024 17:30;196547
03.01.2024 17:40;195569
03.01.2024 17:50;193096
03.01.2024 18:00;191230
03.01.2024 18:10;195831
03.01.2024 18:20;193628
03.01.2024 18:30;195657
03.01.2024 18:40;191408
03.01.2024 18:50;192901
03.01.2024 19:00;179528
03.01.2024 19:10;179590
03.01.2024 19:20;178845
03.01.2024 19:30;180454
03.01.2024 19:40;177919
03.01.2024 19:50;179306
03.01.2024 20:00;179700
03.01.2024 20:10;180292
03.01.2024 20:20;180587
03.01.2024 20:30;177833
03.01.2024 20:40;177219
03.01.2024 20:50;181437
03.01.2024 21:00;167778
03.01.2024 21:10;166157
03.01.2024 21:20;169607
03.01.2024 21:30;167454
03.01.2024 21:40;169049
03.01.2024 21:50;167381
03.01.2024 22:00;170371
03.01.2024 22:10;169913
03.01.2024 22:20;166907
03.01.2024 22:30;168737
03.01.2024 22:40;168248
03.01.2024 22:50;169333
03.01.2024 23:00;165833
03.01.2024 23:10;168309
03.01.2024 23:20;168868
03.01.2024 23:30;164642
03.01.2024 23:40;165505
03.01.2024 23:50;164221
04.01.2024 00:00;158716
04.01.2024 00:10;160196
04.01.2024 00:20;161374
04.01.2024 00:30;159231
04.01.2024 00:40;161563
04.01.2024 00:50;157050
04.01.2024 01:00;156565
04.01.2024 01:10;159037
04.01.2024 01:20;159696
04.01.2024 01:30;159071
04.01.2024 01:40;156019
04.01.2024 01:50;158986
04.01.2024 02:00;157163
04.01.2024 02:10;160125
04.01.2024 02:20;159670
04.01.2024 02:30;157710
04.01.2024 02:40;158349
04.01.2024 02:50;157531
04.01.2024 03:00;159026
04.01.2024 03:10;160553
04.01.2024 03:20;157641
04.01.2024 03:30;159876
04.01.2024 03:40;158325
04.01.2024 03:50;157931
04.01.2024 04:00;158959
04.01.2024 04:10;157567
04.01.2024 04:20;158290
04.01.2024 04:30;157323
04.01.2024 04:40;162067
04.01.2024 04:50;159173
04.01.2024 05:00;158070
04.01.2024 05:10;161481
04.01.2024 05:20;163032
04.01.2024 05:30;164909
04.01.2024 05:40;168201
04.01.2024 05:50;170456
04.01.2024 06:00;170564
04.01.2024 06:10;172536
04.01.2024 06:20;175027
04.01.2024 06:30;174027
04.01.2024 06:40;177247
04.01.2024 06:50;183610
04.01.2024 07:00;186067
04.01.2024 07:10;184586
04.01.2024 07:20;187185
04.01.2024 07:30;188147
04.01.2024 07:40;193658
04.01.2024 07:50;192079
04.01.2024 08:00;191568
04.01.2024 08:10;191687
04.01.2024 08:20;192070
04.01.2024 08:30;196145
04.01.2024 08:40;196065
04.01.2024 08:50;196427
04.01.2024 09:00;198950
04.01.2024 09:10;198298
04.01.2024 09:20;202451
04.01.2024 09:30;201242
04.01.2024 09:40;199908
04.01.2024 09:50;202140
04.01.2024 10:00;200036
04.01.2024 10:10;198628
04.01.2024 10:20;202205
04.01.2024 10:30;200728
04.01.2024 10:40;198364
04.01.2024 10:50;199634
04.01.2024 11:00;198607
04.01.2024 11:10;197846
04.01.2024 11:20;201309
04.01.2024 11:30;202784
04.01.2024 11:40;197822
04.01.2024 11:50;200764
04.01.2024 12:00;190784
04.01.2024 12:10;191029
04.01.2024 12:20;190871
04.01.2024 12:30;190464
04.01.2024 12:40;191833
04.01.2024 12:50;190514
04.01.2024 13:00;198286
04.01.2024 13:10;197805
04.01.2024 13:20;197522
04.01.2024 13:30;196519
04.01.2024 13:40;197015
04.01.2024 13:50;199013
04.01.2024 14:00;198631
04.01.2024 14:10;196414
04.01.2024 14:20;198029
04.01.2024 14:30;199007
04.01.2024 14:40;195376
04.01.2024 14:50;198695
04.01.2024 15:00;196886
04.01.2024 15:10;198736
04.01.2024 15:20;196735
04.01.2024 15:30;195173
04.01.2024 15:40;195439
04.01.2024 15:50;197952
04.01.2024 16:00;198270
04.01.2024 16:10;196524
04.01.2024 16:20;198838
04.01.2024 16:30;195388
04.01.2024 16:40;197781
04.01.2024 16:50;196063
04.01.2024 17:00;192822
04.01.2024 17:10;193871
04.01.2024 17:20;192509
04.01.2024 17:30;193223
04.01.2024 17:40;195309
04.01.2024 17:50;192935
04.01.2024 18:00;195054
04.01.2024 18:10;192105
04.01.2024 18:20;194595
04.01.2024 18:30;195962
04.01.2024 18:40;190093
04.01.2024 18:50;192605
04.01.2024 19:00;180386
04.01.2024 19:10;179215
04.01.2024 19:20;180077
04.01.2024 19:30;178614
04.01.2024 19:40;179650
04.01.2024 19:50;179286
04.01.2024 20:00;181272
04.01.2024 20:10;179902
04.01.2024 20:20;180026
04.01.2024 20:30;178902
04.01.2024 20:40;178789
04.01.2024 20:50;178871
04.01.2024 21:00;167872
04.01.2024 21:10;166649
04.01.2024 21:20;167715
04.01.2024 21:30;170393
04.01.2024 21:40;168587
04.01.2024 21:50;166791
04.01.2024 22:00;169082
04.01.2024 22:10;166668
04.01.2024 22:20;164223
04.01.2024 22:30;165768
04.01.2024 22:40;164474
04.01.2024 22:50;166753
04.01.2024 23:00;167308
04.01.2024 23:10;169795
04.01.2024 23:20;167770
04.01.2024 23:30;166951
04.01.2024 23:40;168524
04.01.2024 23:50;163963
05.01.2024 00:00;159473
05.01.2024 00:10;160276
05.01.2024 00:20;156902
05.01.2024 00:30;160836
05.01.2024 00:40;159628
05.01.2024 00:50;158497
05.01.2024 01:00;160069
05.01.2024 01:10;162526
05.01.2024 01:20;159393
05.01.2024 01:30;159492
05.01.2024 01:40;158431
05.01.2024 01:50;157845
05.01.2024 02:00;160366
05.01.2024 02:10;157836
05.01.2024 02:20;159227
05.01.2024 02:30;158404
05.01.2024 02:40;159838
05.01.2024 02:50;159620
05.01.2024 03:00;160676
05.01.2024 03:10;158355
05.01.2024 03:20;158715
05.01.2024 03:30;157652
05.01.2024 03:40;158454
05.01.2024 03:50;159686
05.01.2024 04:00;160255
05.01.2024 04:10;157737
05.01.2024 04:20;160424
05.01.2024 04:30;161153
05.01.2024 04:40;159740
05.01.2024 04:50;161935
05.01.2024 05:00;157959
05.01.2024 05:10;159293
05.01.2024 05:20;160532
05.01.2024 05:30;167484
05.01.2024 05:40;168262
05.01.2024 05:50;169237
05.01.2024 06:00;171780
05.01.2024 06:10;171712
05.01.2024 06:20;179109
05.01.2024 06:30;177674
05.01.2024 06:40;179684
05.01.2024 06:50;182649
05.01.2024 07:00;184322
05.01.2024 07:10;185296
05.01.2024 07:20;185134
05.01.2024 07:30;188387
05.01.2024 07:40;191863
05.01.2024 07:50;192418
05.01.2024 08:00;194150
05.01.2024 08:10;192353
05.01.2024 08:20;192996
05.01.2024 08:30;195651
05.01.2024 08:40;197284
05.01.2024 08:50;200201
05.01.2024 09:00;197381
05.01.2024 09:10;202214
05.01.2024 09:20;199683
05.01.2024 09:30;199280
05.01.2024 09:40;198402
05.01.2024 09:50;197438
05.01.2024 10:00;201155
05.01.2024 10:10;200030
05.01.2024 10:20;197985
05.01.2024 10:30;197977
05.01.2024 10:40;199416
05.01.2024 10:50;202424
05.01.2024 11:00;199531
05.01.2024 11:10;197665
05.01.2024 11:20;199551
05.01.2024 11:30;199511
05.01.2024 11:40;195875
05.01.2024 11:50;199839
05.01.2024 12:00;191414
05.01.2024 12:10;192804
05.01.2024 12:20;194533
05.01.2024 12:30;193450
05.01.2024 12:40;191357
05.01.2024 12:50;190100
05.01.2024 13:00;201740
05.01.2024 13:10;197969
05.01.2024 13:20;197901
05.01.2024 13:30;197844
05.01.2024 13:40;198177
05.01.2024 13:50;197663
05.01.2024 14:00;197020
05.01.2024 14:10;197060
05.01.2024 14:20;197831
05.01.2024 14:30;197065
05.01.2024 14:40;196811
05.01.2024 14:50;198040
05.01.2024 15:00;197498
05.01.2024 15:10;200136
05.01.2024 15:20;193904
05.01.2024 15:30;199517
05.01.2024 15:40;199749
05.01.2024 15:50;194770
05.01.2024 16:00;197366
05.01.2024 16:10;197323
05.01.2024 16:20;195769
05.01.2024 16:30;196713
05.01.2024 16:40;196214
05.01.2024 16:50;200508
05.01.2024 17:00;195204
05.01.2024 17:10;195707
05.01.2024 17:20;194883
05.01.2024 17:30;192106
05.01.2024 17:40;193013
05.01.2024 17:50;194534
05.01.2024 18:00;191967
05.01.2024 18:10;194869
05.01.2024 18:20;193440
05.01.2024 18:30;193238
05.01.2024 18:40;194866
05.01.2024 18:50;194466
05.01.2024 19:00;178979
05.01.2024 19:10;181259
05.01.2024 19:20;177898
05.01.2024 19:30;180444
05.01.2024 19:40;180410
05.01.2024 19:50;179056
05.01.2024 20:00;180009
05.01.2024 20:10;177643
05.01.2024 20:20;180906
05.01.2024 20:30;179243
05.01.2024 20:40;178736
05.01.2024 20:50;181094
05.01.2024 21:00;166223
05.01.2024 21:10;165167
05.01.2024 21:20;164945
05.01.2024 21:30;168189
05.01.2024 21:40;165359
05.01.2024 21:50;169912
05.01.2024 22:00;164157
05.01.2024 22:10;169825
05.01.2024 22:20;167597
05.01.2024 22:30;167135
05.01.2024 22:40;166463
05.01.2024 22:50;167879
05.01.2024 23:00;167224
05.01.2024 23:10;168935
05.01.2024 23:20;167451
05.01.2024 23:30;167505
05.01.2024 23:40;166735
05.01.2024 23:50;167195
06.01.2024 00:00;135714
06.01.2024 00:10;132687
06.01.2024 00:20;133230
06.01.2024 00:30;136367
06.01.2024 00:40;135508
